股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300525,博思软件,21.08,+0.43,2.08%,6.46%,3851005,81269701,0.78%,54.432,0.313%,12900743024
SZ300044,赛为智能,2.94,+0.06,2.08%,3.89%,10110642,29584226,1.51%,,,2264274010
SZ300471,厚普股份,12.74,+0.26,2.08%,6.7%,2290770,29130518,0.68%,,,4917627922
SZ300006,莱美药业,3.92,+0.08,2.08%,2.89%,7526741,29413648,0.93%,,,4139171924
SZ002233,塔牌集团,7.35,+0.15,2.08%,3.52%,3944024,28790948,0.33%,13.942,8.435%,8763221368
SH603897,长城科技,22.17,+0.45,2.07%,3.84%,2131026,46830601.76,1.03%,32.447,2.255%,4576679048
SH605358,立昂微,44.91,+0.91,2.07%,5.42%,5939441,264419325.14,1.18%,36.297,0.828%,30397259803
SH688316,青云科技-U,29.58,+0.6,2.07%,4.75%,229906,6789248.41,0.66%,,,1403931137
SH605298,必得科技,13.33,+0.27,2.07%,3.41%,263643,3504630.87,0.61%,32.023,2.311%,1871532000
SH688498,源杰科技,127.98,+2.6,2.07%,7.07%,350337,44678396.62,2.77%,70.382,,7678800000
SZ301318,维海德,44.42,+0.9,2.07%,4.52%,257946,11412396,1.57%,23.103,1.126%,3083281040
SZ002216,三全食品,17.71,+0.36,2.07%,-4.32%,7556824,132792771,1.2%,19.937,1.129%,15570349490
SZ301149,隆华新材,10.86,+0.22,2.07%,-0.37%,1425800,15358983,0.77%,35.494,0.921%,4669800195
SH605003,众望布艺,18.36,+0.37,2.06%,3.32%,752750,13778028,2.74%,17.066,2.233%,2019600000
SZ002079,苏州固锝,14.88,+0.3,2.06%,11.13%,25344713,374014934,3.17%,52.104,0.296%,12021352846
SZ301191,菲菱科思,76.8,+1.55,2.06%,8.02%,284000,21724952,2.13%,19.206,,4096512000
SZ300676,华大基因,54.57,+1.1,2.06%,5.57%,2112789,114825557,0.51%,28.424,0.641%,22587304715
SZ300895,铜牛信息,28.78,+0.58,2.06%,3.79%,2039304,58700923,3.39%,132.836,0.156%,3683857210
SZ300588,熙菱信息,9.41,+0.19,2.06%,2.17%,1517600,14330370,1.11%,,,1810211392
SZ300608,思特奇,8.42,+0.17,2.06%,3.19%,3038614,25498922,1.55%,95.728,0.534%,2754467505
